step,reference,input,output
0,1,0.1421874999999718,0.0
1,1,0.548532714843666,0.1421874999999718
2,1,1.014649791717429,0.39212646484369695
3,1,1.3363807198464173,0.5889981803893614
4,1,1.5225805606052878,0.697911530011869
5,1,1.65314021311434,0.765506740354683
6,1,1.7624339181174824,0.8222967345187807
7,1,1.8490572215536498,0.8699062292337011
8,1,1.9114603154317564,0.9049215103282209
9,1,1.955755944662417,0.9293265833900972
10,1,1.988606686496984,0.9470994082283307
11,1,2.01354238418389,0.9606355869031432
12,1,2.0322121397534016,0.970872371717624
13,1,2.0459639940806293,0.9784288650047693
14,1,2.0560995391586334,0.9839749471133841
15,1,2.0636332024018778,0.9880864597461988
16,1,2.0692484916533216,0.9911545337111467
17,1,2.0734205441505393,0.9934379904820031
18,1,2.0765123778658108,0.995130337279463
19,1,2.0788051630909665,0.9963842676365335
20,1,2.0805079869898906,0.9973152277545736
21,1,2.081772950478423,0.9980070045735564
22,1,2.0827120142585653,0.9985206977674426
23,1,2.0834088880407093,0.998901890134677
24,1,2.0839261376476172,0.9991847837337496
25,1,2.0843101605643204,0.9993948056892872
26,1,2.08459526995967,0.9995507418738607
27,1,2.0848069157479427,0.9996665030491292
28,1,2.0849640201278827,0.9997524309718882
29,1,2.085080644113291,0.9998162165178103
30,1,2.085167221578597,0.9998635685494243
31,1,2.0852314929881093,0.9998987211236204
32,1,2.0852792042183923,0.9999248164236911
33,1,2.0853146220259613,0.9999441878435052
34,1,2.085340914240458,0.9999585680480433
35,-1,1.8009854322334446,0.9999692431813751
36,-1,0.9883094916608536,0.7156021678487272
37,-1,0.05608609381512884,0.2157301209908442
38,-1,-0.5873677778676614,-0.17800894302367504
39,-1,-0.9597615320750966,-0.3958324003927005
40,1,-0.9365014369803019,-0.5310204144852329
41,1,-0.34239515089690914,-0.36022361629015437
42,1,0.4165948207744959,0.04443665018350349
43,1,0.9352522893109552,0.36815050359509743
44,1,1.2190620486141317,0.5371677875618566
45,-1,1.1301058619193256,0.63681310111059
46,-1,0.48613218323804686,0.43894613484074835
47,-1,-0.3101943281329777,0.013813923934707581
48,-1,-0.8563532994914116,-0.3250117095952089
49,-1,-1.1604325114619038,-0.5051202621727183
50,1,-1.0865424356719913,-0.612987936138023
51,1,-0.45379843311276347,-0.4212566242507204
52,1,0.3341846431416173,-0.0006909605040427078
53,1,0.8741604443498724,0.33475025141301556
54,1,1.1736544550236168,0.5123511451808898
55,-1,1.0963590054751378,0.6183570487929054
56,-1,0.4610852793705137,0.42524229453236717
57,-1,-0.3287757734276865,0.0036493269947230345
58,-1,-0.8701452100939211,-0.3325542083414835
59,-1,-1.1706736367599309,-0.5107208437903848
60,1,-1.0941461712657645,-0.617146757524075
61,1,-0.45944261809044434,-0.4243438505492945
62,1,0.329995177176185,-0.0029823867416609515
63,1,0.871050430355657,0.33304930657188303
64,1,1.17134562781222,0.5110883811902669
65,-1,1.094645021314848,0.6174195984781722
66,-1,0.4598129356594413,0.42454639200976824
67,-1,-0.3297202743926941,0.0031327417997827414
68,-1,-0.870846357489762,-0.3329376912371807
69,-1,-1.1711941351457773,-0.511005523951339
70,-1,-1.3789075614944328,-0.6173580897886414
71,-1,-1.5567948814252106,-0.7088757313799682
72,-1,-1.6995173351939474,-0.7873517755702222
73,-1,-1.80186907622078,-0.845033507075692
74,-1,-1.8739328337496128,-0.8847988568370199
75,1,-1.642972511937202,-0.9136415244843966
76,1,-0.8709887046044489,-0.6513324439805939
77,1,0.030716446837118785,-0.1682001117514844
78,1,0.6517202565858853,0.21319251979603884
79,1,1.0075897648925776,0.4219729611052032
80,1,1.2564202806763185,0.5504593147698705
81,1,1.4658414450346122,0.6590320598063084
82,1,1.6322764498754414,0.7505224791525656
83,1,1.752036163956121,0.8177904104534974
84,1,1.8368859030370752,0.8645543208004114
85,-1,1.6154334022392598,0.8985807676329167
86,-1,0.8505497030830901,0.6401490387674144
87,-1,-0.04587768893772093,0.15990620045800047
88,-1,-0.6629732132466966,-0.21934640682859632
89,-1,-1.0159459914907092,-0.42654264107475764
90,-1,-1.2626247341727668,-0.5538528090290532
91,-1,-1.4704469026535547,-0.6615511577846515
92,-1,-1.6356948382386935,-0.7523921721971593
93,-1,-1.7545737706673301,-0.8191782853142175
94,-1,-1.8387698016272487,-0.8655846754494355
95,1,-1.6168319419102086,-0.8993456886977889
96,1,-0.8515878793053763,-0.6407168656495831
97,1,0.04510702046888915,-0.1603277098800093
98,1,0.6624011096817557,0.21903350296346208
99,1,1.0155212883330513,0.42631035504799286
100,1,1.26230945705516,0.553680371321334
101,1,1.4702128594123258,0.6614231501000658
102,1,1.6355210979770605,0.7522971468709037
103,1,1.754444795306275,0.8191077437324883
104,1,1.8386740572273026,0.8655323091151977
105,1,1.9011358665311224,0.899306814778095
106,1,1.9486005465967267,0.9250630078232687
107,1,1.984153395085575,0.9445592171251309
108,1,2.010331253924293,0.9589469549705589
109,1,2.029618248384871,0.9695008995736221
110,-1,1.7595799460356256,0.9773243457069373
111,-1,0.9575776524422915,0.6987888132648191
112,-1,0.03328493173077725,0.2032575524565588
113,-1,-0.6042921590154974,-0.18726466897460145
114,-1,-0.9723281550951215,-0.4027048637544882
115,1,-0.945831532002932,-0.5361234547044257
116,1,-0.34932086630233594,-0.3640117696858288
117,1,0.41145403413175186,0.04162490878387363
118,1,0.9314360653418092,0.3660633069360043
