step,reference,input,output
0,1,0.17205989719536668,-0.21009158467100167
1,1,0.6309127444968714,0.1930862212869108
2,1,1.1244659783233732,0.2979432446504868
3,1,1.4565787004324284,0.61731723835955
4,1,1.6071614157757779,0.941008568528154
5,1,1.5722265817475192,1.4115961506341577
6,1,1.4498613432574043,0.9207008153613755
7,1,1.4740807805544303,0.5455717555215459
8,1,1.7213620059823163,0.33777608437836987
9,1,1.9327419778106025,1.3683732589402062
10,1,1.9051509629483587,0.9848976731348229
11,1,1.8350073968846194,0.9185623029825977
12,1,1.8018842029336821,1.3220861161592745
13,1,1.7597918527644927,0.8447063842560766
14,1,1.8194476124600176,0.6020775721404749
15,1,1.9938716095368565,0.7375228377139529
16,1,2.1081472235510756,1.1394062240096843
17,1,2.081180306483611,1.0576175793583633
18,1,2.001764447934558,1.1545571342171606
19,1,2.0449738434092346,0.3006562836423349
20,1,2.1727726642051355,1.4205787501152163
21,1,2.1975094063172143,0.7101270701514266
22,1,2.2162465518591206,0.9452024207239857
23,1,2.300407706098561,0.6967693216436219
24,1,2.423733975335945,0.8332156763837617
25,1,2.5079140355982408,0.9875002557061306
26,1,2.496060413984969,1.1850278098258662
27,1,2.4473790309590737,0.8867039336122344
28,1,2.4103318075861564,1.2758729245131282
29,1,2.3508966710538024,1.0211903679692576
30,1,2.226376298675534,1.602700926785764
31,1,2.0092076266021173,1.3234646225711437
32,1,1.874429685075644,0.783667355368189
33,1,1.8452826954116435,1.447844775135291
34,1,1.7931199518148802,0.8692103630864361
35,-1,1.5297745686027708,0.7184186482106892
36,-1,0.8440539273918065,0.5112558469423821
37,-1,-0.019016039253877626,0.4700359304345273
38,-1,-0.7074907125107205,-0.2442723599548692
39,-1,-1.098978775398519,-0.4924145235202937
40,1,-1.0365400401206648,-0.5502295817471634
41,1,-0.445929686175232,-0.1380129122024194
42,1,0.27450097289174435,-0.13167330234100177
43,1,0.8958837592391391,-0.2555860220353975
44,1,1.302976983688414,1.120500614344996
45,-1,1.1012336808380288,0.8874330977924099
46,-1,0.39061101753145,-0.30454601613517024
47,-1,-0.203742670474091,-0.2128707054298386
48,-1,-0.5676038176466739,-0.2510872844939479
49,-1,-0.8592911398155861,-0.5659417360616448
50,1,-0.8431683672595729,-0.40077060848886553
51,1,-0.29718615713805885,-0.24019886354459316
52,1,0.36493014869268786,0.3669104827648796
53,1,0.8042744082620632,0.18122873825410002
54,1,1.1009895288177274,0.5627963148520938
55,-1,1.0073050399364951,0.8860306070564659
56,-1,0.2248733393949443,0.9261458483880178
57,-1,-0.6924816855622344,-0.39523704684607563
58,-1,-1.2570229496455445,0.19306930343732198
59,-1,-1.5579975241658324,-1.0154425123296007
60,1,-1.3783245117229728,-0.7870166192107727
61,1,-0.6468527236149351,-0.29820471822011974
62,1,0.10123885829636856,0.2030510140671941
63,1,0.5377312278852132,0.40296410333663424
64,1,0.8271836634664931,0.21667513046324144
65,-1,0.8189195316022605,0.7454997355405886
66,-1,0.2148707803799068,0.30973932649721275
67,-1,-0.5996354022297574,0.24007017525475405
68,-1,-1.1742017149497461,-0.523862221951421
69,-1,-1.4745851574182365,-0.3489417181249488
70,-1,-1.6649861967913218,-0.847532392201357
71,-1,-1.7449738710726104,-1.073152303866724
72,-1,-1.6928189616381863,-1.2243050812943417
73,-1,-1.559787537735664,-1.2931580939187377
74,-1,-1.4002794787144892,-1.3140514373145438
75,1,-1.0841145020253589,-0.3973913311882375
76,1,-0.4781881018610193,-0.2817294036072441
77,1,0.1790039024779615,0.1563615228709111
78,1,0.6552320045064012,0.24630501288748052
79,1,0.9916096781335504,0.39638414496340985
80,1,1.1897310793579796,1.0928433426751374
81,1,1.252017029543635,0.6876059016724712
82,1,1.3387847229482412,0.7108872203136338
83,1,1.515336448327501,0.5487866523379161
84,1,1.6781035797719124,1.0288074957333522
85,-1,1.479962369993407,0.6659156714091284
86,-1,0.7362385676435137,0.7136167171031573
87,-1,-0.15010750233741194,0.12387011014388655
88,-1,-0.6906456569481991,-0.7517289204542437
89,-1,-0.9297826427553275,-0.15407627883323724
90,-1,-1.12492893744801,-0.9490111594020534
91,-1,-1.3357603794485997,-0.20898222684513568
92,-1,-1.5992659724327565,-0.6670975448145045
93,-1,-1.7767390144504156,-1.015751192577003
94,-1,-1.776971579834608,-1.1287405100162777
95,1,-1.3928357265392997,-1.211833688977665
96,1,-0.5086695158316857,-0.6047275334739907
97,1,0.4402205540703421,-0.4154560761621694
98,1,1.1120410580765947,0.18225886071336514
99,1,1.4955632719687761,0.47520746178192497
100,1,1.6626743298678934,1.0314961943604568
101,1,1.6796052777094397,0.9505646504863892
